CD,CHAD,CMECMRCIMR,Probability of dying before the first birthday (in the ten years preceding the survey [five years for Total]) per 1 000 live births,102.0
BF,Ouagadougou,CMECMRCIMR,Probability of dying before the first birthday (in the ten years preceding the survey [five years for Total]) per 1 000 live births,69.0
BF,Boucle du Mouhoun,CMECMRCIMR,Probability of dying before the first birthday (in the ten years preceding the survey [five years for Total]) per 1 000 live births,88.0
BF,Centre,CMECMRCIMR,Probability of dying before the first birthday (in the ten years preceding the survey [five years for Total]) per 1 000 live births,82.0
BF,Centre-Sud,CMECMRCIMR,Probability of dying before the first birthday (in the ten years preceding the survey [five years for Total]) per 1 000 live births,67.0
BF,Plateau Central,CMECMRCIMR,Probability of dying before the first birthday (in the ten years preceding the survey [five years for Total]) per 1 000 live births,75.0
BF,Centre-Est,CMECMRCIMR,Probability of dying before the first birthday (in the ten years preceding the survey [five years for Total]) per 1 000 live births,64.0
BF,Centre-Nord,CMECMRCIMR,Probability of dying before the first birthday (in the ten years preceding the survey [five years for Total]) per 1 000 live births,85.0
BF,Centre-Ouest,CMECMRCIMR,Probability of dying before the first birthday (in the ten years preceding the survey [five years for Total]) per 1 000 live births,110.0
BF,Est,CMECMRCIMR,Probability of dying before the first birthday (in the ten years preceding the survey [five years for Total]) per 1 000 live births,101.0
BF,Nord,CMECMRCIMR,Probability of dying before the first birthday (in the ten years preceding the survey [five years for Total]) per 1 000 live births,104.0
BF,Cascades,CMECMRCIMR,Probability of dying before the first birthday (in the ten years preceding the survey [five years for Total]) per 1 000 live births,113.0
BF,Hauts-Bassins,CMECMRCIMR,Probability of dying before the first birthday (in the ten years preceding the survey [five years for Total]) per 1 000 live births,88.0
BF,Sahel,CMECMRCIMR,Probability of dying before the first birthday (in the ten years preceding the survey [five years for Total]) per 1 000 live births,122.0
BF,Sud-Ouest,CMECMRCIMR,Probability of dying before the first birthday (in the ten years preceding the survey [five years for Total]) per 1 000 live births,113.0
ML,Kayes,CMECMRCIMR,Probability of dying before the first birthday (in the ten years preceding the survey [five years for Total]) per 1 000 live births,135.0
ML,Koulikoro,CMECMRCIMR,Probability of dying before the first birthday (in the ten years preceding the survey [five years for Total]) per 1 000 live births,132.0
ML,Sikasso,CMECMRCIMR,Probability of dying before the first birthday (in the ten years preceding the survey [five years for Total]) per 1 000 live births,139.0
ML,Segou,CMECMRCIMR,Probability of dying before the first birthday (in the ten years preceding the survey [five years for Total]) per 1 000 live births,148.0
ML,Mopti,CMECMRCIMR,Probability of dying before the first birthday (in the ten years preceding the survey [five years for Total]) per 1 000 live births,142.0
ML,Bamako,CMECMRCIMR,Probability of dying before the first birthday (in the ten years preceding the survey [five years for Total]) per 1 000 live births,84.0
ML,Gao/Timbouctou,CMECMRCIMR,Probability of dying before the first birthday (in the ten years preceding the survey [five years for Total]) per 1 000 live births,106.0
MR,Nouakchott,CMECMRCIMR,Probability of dying before the first birthday (in the ten years preceding the survey [five years for Total]) per 1 000 live births,79.0
MR,Zone Centre,CMECMRCIMR,Probability of dying before the first birthday (in the ten years preceding the survey [five years for Total]) per 1 000 live births,28.0
MR,Zone Fleuve,CMECMRCIMR,Probability of dying before the first birthday (in the ten years preceding the survey [five years for Total]) per 1 000 live births,66.0
MR,Zone Nord,CMECMRCIMR,Probability of dying before the first birthday (in the ten years preceding the survey [five years for Total]) per 1 000 live births,79.0
MR,Zone Sud,CMECMRCIMR,Probability of dying before the first birthday (in the ten years preceding the survey [five years for Total]) per 1 000 live births,68.0
NE,Agadez,CMECMRCIMR,Probability of dying before the first birthday (in the ten years preceding the survey [five years for Total]) per 1 000 live births,53.0
NE,Diffa,CMECMRCIMR,Probability of dying before the first birthday (in the ten years preceding the survey [five years for Total]) per 1 000 live births,63.0
NE,Dosso,CMECMRCIMR,Probability of dying before the first birthday (in the ten years preceding the survey [five years for Total]) per 1 000 live births,97.0
NE,Maradi,CMECMRCIMR,Probability of dying before the first birthday (in the ten years preceding the survey [five years for Total]) per 1 000 live births,106.0
NE,Tahoua,CMECMRCIMR,Probability of dying before the first birthday (in the ten years preceding the survey [five years for Total]) per 1 000 live births,91.0
NE,Tillaberi,CMECMRCIMR,Probability of dying before the first birthday (in the ten years preceding the survey [five years for Total]) per 1 000 live births,74.0
NE,Zinder,CMECMRCIMR,Probability of dying before the first birthday (in the ten years preceding the survey [five years for Total]) per 1 000 live births,113.0
CD,CHAD,CMECMRCU5M,Probability of dying before the fifth birthday (in the ten years preceding the survey [five years for Total]) per 1 000 live births,191.0
BF,Ouagadougou,CMECMRCU5M,Probability of dying before the fifth birthday (in the ten years preceding the survey [five years for Total]) per 1 000 live births,119.0
BF,Boucle du Mouhoun,CMECMRCU5M,Probability of dying before the fifth birthday (in the ten years preceding the survey [five years for Total]) per 1 000 live births,188.0
